#seq_id	posterior_prob	svm_score
chr10:3067520-3067720	0.99394667801	1.10838858725
chr10:3077830-3078030	0.998388845249	1.36539005616
chr10:3409515-3409715	0.98338956029	0.91099020313
chr10:3410770-3410970	0.979453344413	0.869061282769
chr10:3411485-3411685	0.998067040613	1.3300895947
chr10:3419500-3419700	0.99742139272	1.27419578541
chr10:3429690-3429890	0.999696936872	1.68895054632
chr10:3446120-3446320	0.996941521387	1.24107693984
chr10:4222150-4222350	0.982317456854	0.898675850841
chr10:4478080-4478280	0.99380470211	1.10387476395
chr10:4838795-4838995	0.997042198361	1.24757345898
chr10:5111120-5111320	0.994739919377	1.13572331486
chr10:5111550-5111750	0.99307478152	1.08217981313
chr10:5142480-5142680	0.997069959966	1.24940367302
chr10:5214690-5214890	0.990263775801	1.01570611656
chr10:5333335-5333535	0.990137298446	1.01318383749
chr10:5421860-5422060	0.988777505133	0.987924335859
chr10:6243415-6243615	0.999135518642	1.48600854294
chr10:6425830-6426030	0.998030689378	1.32647722322
chr10:6822900-6823100	0.998325382839	1.35790186419
chr10:6849435-6849635	0.998444032474	1.37214521732
chr10:6928895-6929095	0.99773174648	1.29907136489
chr10:7009070-7009270	0.996667722925	1.2244327124
chr10:7758410-7758610	0.999156186484	1.49069510527
chr10:7894065-7894265	0.998242471582	1.34853470516
chr10:7947875-7948075	0.985612327004	0.939226437646
chr10:7949865-7950065	0.975147332907	0.831390436474
chr10:8111115-8111315	0.99792149358	1.31601317091
chr10:8202685-8202885	0.984967254871	0.930612655966
chr10:8218850-8219050	0.996601482952	1.22061096771
chr10:8480395-8480595	0.994993387266	1.14532937069
chr10:8481590-8481790	0.995949403025	1.18651873239
chr10:8692925-8693125	0.998211170856	1.34511267576
chr10:8725420-8725620	0.999551733676	1.61317427125
chr10:8734765-8734965	0.993349788109	1.09007452422
chr10:8959825-8960025	0.998857366602	1.43197334132
chr10:8992290-8992490	0.999333727908	1.53644263088
chr10:9182275-9182475	0.999196233441	1.50011175016
chr10:9289145-9289345	0.979844507186	0.872858038275
chr10:9357920-9358120	0.999246599808	1.51264388299
chr10:9360025-9360225	0.998494450702	1.37852910529
chr10:9361995-9362195	0.998815694002	1.42503353581
chr10:9827130-9827330	0.999161474031	1.49191251632
chr10:10669060-10669260	0.999319439795	1.53233397276
chr10:10997985-10998185	0.989300257858	0.997257079188
chr10:11826950-11827150	0.995965189951	1.18727745906
chr10:11910350-11910550	0.968568234857	0.784634245889
chr10:12059510-12059710	0.955813691025	0.716160930437
chr10:12315685-12315885	0.982206852275	0.897447433235
chr10:12459475-12459675	0.956282753977	0.718321054286
chr10:12546520-12546720	0.997995969612	1.32308858306
